Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
,50724,"Mermelada de frambuesa LA VIEJA FABRICA, frasco 350 g ",91312,N/A,0.20859181880950928,False Positive
,26528430,"Champagne Brut VEUVE CLICQUOT, botella 75 cl",222110,N/A,0.2101491093635559,False Positive
,24982530,"Leche condensada desnatada LA LECHERA, lata 387 g",214658,N/A,0.2120039463043213,False Positive
,2955136,"Vino Tinto Gran Reserva Rioja VIÑA ALBINA, botella 75 cl",216905,N/A,0.21211498975753784,False Positive
,24950164,"Mermelada de arándanos y fresas LVF, frasco 280 g",7762,N/A,0.21415656805038452,False Positive
,26694752,"Limpiador superficies delicadas DON LIMPIO, garrafa 3 litros",220452,N/A,0.2142309993505478,False Positive
,25013434,"Helado sabor limón en su cáscara NORDWIK, 1 ud, 90 g",221515,N/A,0.2147316038608551,False Positive
,14218085,"Ron Extra Añejo MATUSALEM, botella 70 cl",98058,N/A,0.21543559432029724,False Positive
,465757,"Cerveza sin alcohol MAHOU, pack botellín 6x25 cl",469222,N/A,0.21576140820980072,False Positive
,3051737,"Mantequilla KAIKU, pastilla 125 g",186787,N/A,0.2168700098991394,False Positive
,25527995,"Vino Tinto DCO Rioja Joven Campillo Cuvée, botella 75 cl",719706,N/A,0.21729981899261475,False Positive
,186288,"Vino Tinto Reserva D.O. Rioja GLORIOSO, botella 75 cl",169507,N/A,0.22018134593963623,False Positive
,19743426,"Vino Blanco D.O.C. Rioja ARABARTE, botella 75 cl",89501,N/A,0.22090879082679749,False Positive
,976423,"Whisky 100 PIPERS, botella 70 cl",658060,N/A,0.22409096360206604,False Positive
,20244760,"Yogur griego de caramelo OIKOS, pack 2x110 g",193179,N/A,0.2290920615196228,False Positive
,23481666,"Panela de caña eco AZUCARERA, doypack 200 g",178405,N/A,0.23154956102371216,False Positive
,24281768,"La piña en rodajas DEL MONTE, lata 360 g",131255,N/A,0.23308108747005463,False Positive
,16129165,"Vaso con pajita LACASITOS, vaso 100 g",308711,N/A,0.2336542308330536,False Positive
,25875824,"Whisky escocés Green Label 15 años JOHNNIE WALKER, botella 70 cl",12287,N/A,0.23380930721759796,False Positive
,8462459,"Aceite de oliva virgen extra CARBONELL, garrafa 3 litros",8063,N/A,0.23559097945690155,False Positive
,8368185,"Actimel para beber sabor fresa DANONE, pack 6x100 ml",31959,N/A,0.23573359847068787,False Positive
,16035727,"Tónica SCHWEPPES ZERO, lata 33 cl",292110,N/A,0.23800042271614075,False Positive
